PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),Source (none),Instrument_Name (none),Sms (none),Nbm (none),Channels (none),hour (none),latitude (degree N/S),longitude (degree E/W),quality_indicator (none),satellite_number (none),hdop (none),altitude (m),air_pressure_at_sea_level (mbar),air_temperature (degree_Celsius),relative_humidity (%),wind_from_direction (degree),mag_wind (degree),knot_wind_speed (knt),wind_speed (m/s),pitch (degree),roll (degree),wmo_wind_speed (m/s),wmo_wind_mag (degree),wind_speed_of_gust (m/s),wind_gust_from_direction (degree),QC
SCENES,2020-01-14T14:40:06Z,,,0x3f,AirmarWS200,612,6,0xffff,00:00:00.0,-0.000000,0.000000,0,0,0.0,0.0,993,22.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,00000000000000000000000000000
SCENES,2020-01-14T14:55:05Z,,,0x3f,AirmarWS200,612,6,0xffff,00:00:00.0,-0.000000,0.000000,0,0,0.0,0.0,993,23.2,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.0,0.0,00000000000000000000000000000
SCENES,2020-01-14T15:10:00Z,,,0x3f,AirmarWS200,612,6,0xffff,00:00:00.0,-0.000000,0.000000,0,0,0.0,0.0,993,23.5,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.0,0.0,00000000000000000000000000000
SCENES,2020-01-14T15:25:03Z,,,0x3f,AirmarWS200,612,6,0xffff,00:00:00.0,-0.000000,0.000000,0,0,0.0,0.0,993,23.8,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.0,0.0,00000000000000000000000000000
SCENES,2020-01-14T15:40:03Z,,,0x3f,AirmarWS200,612,6,0xffff,00:00:00.0,-0.000000,0.000000,0,0,0.0,0.0,993,23.9,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.0,0.0,00000000000000000000000000000
SCENES,2020-01-14T15:55:03Z,,,0x3f,AirmarWS200,612,6,0xffff,00:00:00.0,-0.000000,0.000000,0,0,0.0,0.0,993,24.1,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.0,0.0,00000000000000000000000000000
SCENES,2020-01-14T18:10:01Z,,,0x3f,AirmarWS200,102,1,0xffff,00:00:00.0,-0.000000,0.000000,0,0,0.0,0.0,994,23.9,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,00000000000000000000000000000
SCENES,2020-01-14T21:25:02Z,,,0x3f,AirmarWS200,102,1,0xffff,00:00:00.0,-0.000000,0.000000,0,0,0.0,0.0,994,23.6,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,00000000000000000000000000000
SCENES,2020-01-14T21:40:03Z,,,0x3f,AirmarWS200,204,2,0xffff,00:00:00.0,-0.000000,0.000000,0,0,0.0,0.0,994,23.6,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,00000000000000000000000000000
SCENES,2020-01-14T21:55:02Z,,,0x3f,AirmarWS200,204,2,0xffff,00:00:00.0,-0.000000,0.000000,0,0,0.0,0.0,994,23.6,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,00000000000000000000000000000
