location,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster
lat,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739
lon,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251
asl,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Shortwave Radiation,Evapotranspiration,Wind Gust,Wind Speed,Wind Direction,Geopotential Height,Temperature,Temperature
unit,°C,%,hPa,mm,cm,%,W/m²,mm,km/h,km/h,°,Gpm,°C,°C
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,sfc,sfc,sfc,10 m,10 m,1000 mb,1000 mb,850 mb
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Münster Temperature [2 m elevation corrected],Münster Relative Humidity [2 m],Münster Mean Sea Level Pressure [MSL],Münster Precipitation Total,Münster Snowfall Amount,Münster Cloud Cover Total,Münster Shortwave Radiation,Münster Evapotranspiration,Münster Wind Gust,Münster Wind Speed [10 m],Münster Wind Direction [10 m],Münster Geopotential Height [1000 mb],Münster Temperature [1000 mb],Münster Temperature [850 mb]
20201113T0000,9.575954,78.0,1020.2,0.0,0.0,0.0,0.0,0.00576,26.64,13.397612,239.30028,165.0,9.31,0.27
20201113T0100,8.415955,86.0,1019.8,0.0,0.0,0.0,0.0,0.00288,25.56,10.739832,219.55966,162.0,8.83,0.51
20201113T0200,7.735955,89.0,1019.7,0.0,0.0,0.3,0.0,0.00144,22.68,10.30883,204.77515,160.0,8.81,0.46
20201113T0300,7.1159554,90.0,1019.1,0.0,0.0,0.0,0.0,0.0,19.8,10.308831,192.09476,156.0,8.4,0.57
20201113T0400,6.5559554,88.0,1019.1,0.0,0.0,1.2,0.0,0.0,21.24,11.609651,187.12502,155.0,7.77,0.73
20201113T0500,5.875955,86.0,1018.7,0.0,0.0,0.90000004,0.0,0.00144,23.759998,11.609651,187.12502,152.0,7.28,0.7
20201113T0600,5.3259554,85.0,1018.7,0.0,0.0,1.8000001,0.0,0.00144,27.359999,11.542478,183.57634,151.0,6.83,0.67
20201113T0700,4.8259554,85.0,1018.7,0.0,0.0,3.3000002,0.0,0.00144,25.919998,11.885453,181.7357,151.0,6.31,0.72
20201113T0800,4.5359554,85.0,1018.1,0.0,0.0,4.2000003,0.0,0.00144,25.199999,11.885453,178.2643,146.0,5.69,0.97
20201113T0900,5.855955,80.0,1017.9,0.0,0.0,3.6000001,78.32,0.00432,24.84,13.684735,178.49257,145.0,5.84,1.81
20201113T1000,8.155954,73.0,1017.9,0.0,0.0,4.2000003,194.02,0.00864,22.319998,15.484185,181.33221,147.0,7.31,1.78
20201113T1100,10.795955,64.0,1016.9,0.0,0.0,3.9,275.01,0.01584,25.919998,17.64,180.0,139.0,9.73,2.32
20201113T1200,12.125955,64.0,1016.3,0.0,0.0,100.0,223.39,0.01872,31.68,21.575987,205.70996,136.0,11.1,2.82
20201113T1300,13.175955,68.0,1015.5,0.0,0.0,100.0,280.35,0.0216,30.960001,20.150354,198.75865,129.0,12.28,3.14
20201113T1400,14.535954,64.0,1014.8,0.0,0.0,8.1,213.59999,0.0216,33.12,21.273533,203.9625,124.0,13.61,4.1
20201113T1500,15.075954,64.0,1014.0,0.0,0.0,100.0,192.23999,0.0216,30.960001,21.659916,201.44774,118.0,14.43,5.04
20201113T1600,15.025955,67.0,1014.4,0.0,0.0,100.0,110.36,0.01584,32.399998,21.461555,202.69379,121.0,14.7,5.94
20201113T1700,14.625955,72.0,1014.2,0.0,0.0,100.0,11.57,0.00864,33.12,20.883102,215.88214,119.0,14.37,5.19
20201113T1800,13.755955,81.0,1014.5,0.0,0.0,100.0,0.0,0.0072,29.16,20.633371,222.8789,122.0,13.38,5.04
20201113T1900,13.515955,82.0,1014.9,0.0,0.0,100.0,0.0,0.00576,29.88,20.523157,232.12502,124.0,13.13,5.84
20201113T2000,13.045955,83.0,1015.2,0.0,0.0,100.0,0.0,0.0072,27.359999,19.881649,238.32454,127.0,12.59,4.87
20201113T2100,12.665955,84.0,1015.6,0.0,0.0,100.0,0.0,0.00576,24.48,17.673029,236.63364,130.0,12.18,4.4
20201113T2200,12.085955,88.0,1016.0,0.0,0.0,100.0,0.0,0.00288,22.319998,14.512064,223.99492,133.0,11.69,4.79
20201113T2300,12.005955,89.0,1016.0,0.0,0.0,100.0,0.0,0.00288,27.72,14.277983,213.69006,133.0,11.55,4.71
20201114T0000,12.035954,91.0,1016.4,0.2,0.0,100.0,0.0,0.00288,27.359999,15.807239,210.06859,136.0,11.58,5.12
20201114T0100,12.095955,90.0,1015.9,0.0,0.0,100.0,0.0,0.00432,23.4,15.30741,221.18593,132.0,11.67,5.26
20201114T0200,12.055955,91.0,1016.3,0.0,0.0,100.0,0.0,0.00432,25.919998,16.039202,224.09062,135.0,11.54,4.72
20201114T0300,11.935955,92.0,1015.8,0.0,0.0,100.0,0.0,0.00288,23.759998,13.783817,220.76361,131.0,11.51,4.79
20201114T0400,11.855955,91.0,1015.2,0.0,0.0,100.0,0.0,0.00144,27.0,12.7279215,208.73979,127.0,11.5,4.95
20201114T0500,11.865954,89.0,1015.6,0.0,0.0,100.0,0.0,0.00288,26.64,13.570615,201.8014,129.0,11.5,5.17
20201114T0600,11.685955,89.0,1015.3,0.0,0.0,100.0,0.0,0.00432,29.16,15.7908325,204.22775,127.0,11.29,5.35
20201114T0700,11.445954,90.0,1015.7,0.0,0.0,100.0,0.0,0.00288,28.8,15.0038395,210.25644,130.0,11.17,5.5
20201114T0800,11.565955,89.0,1015.7,0.1,0.0,100.0,0.0,0.00432,28.08,14.57889,212.90524,130.0,11.17,5.25
