location,Münster,Münster,Münster,Münster,Münster
lat,51.97739,51.97739,51.97739,51.97739,51.97739
lon,7.62251,7.62251,7.62251,7.62251,7.62251
asl,58.762,58.762,58.762,58.762,58.762
variable,Temperature,Relative Humidity,Geopotential Height,Temperature,Temperature
unit,°C,%,Gpm,°C,°C
level,2 m elevation corrected,2 m,1000 mb,1000 mb,850 mb
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Münster Temperature [2 m elevation corrected],Münster Relative Humidity [2 m],Münster Geopotential Height [1000 mb],Münster Temperature [1000 mb],Münster Temperature [850 mb]
20201108T0000,9.005955,74.0,194.0,12.8,9.89
20201108T0100,7.8859553,77.0,197.0,12.42,9.89
20201108T0200,6.815955,77.0,197.0,12.21,9.97
20201108T0300,6.4059553,78.0,189.0,11.71,10.32
20201108T0400,6.0959554,80.0,188.0,11.17,10.19
20201108T0500,5.855955,80.0,189.0,11.19,9.89
20201108T0600,5.455955,80.0,188.0,11.41,10.16
20201108T0700,5.0759554,80.0,189.0,11.32,10.32
20201108T0800,5.295955,77.0,187.0,10.41,10.4
20201108T0900,6.985955,70.0,187.0,10.72,10.22
20201108T1000,9.575954,65.0,192.0,11.75,9.88
20201108T1100,12.485955,61.0,197.0,13.17,9.94
20201108T1200,14.705955,58.0,196.0,13.35,9.89
20201108T1300,14.235955,55.0,187.0,12.35,11.22
20201108T1400,15.525955,54.0,190.0,13.75,11.15
20201108T1500,16.245956,54.0,188.0,14.77,10.72
20201108T1600,16.165956,57.0,187.0,15.3,9.99
20201108T1700,15.935955,58.0,187.0,15.65,10.12
20201108T1800,15.335955,61.0,188.0,15.95,9.64
20201108T1900,14.455955,65.0,185.0,16.14,10.03
20201108T2000,13.535954,69.0,190.0,16.13,9.52
20201108T2100,12.545955,73.0,194.0,15.39,8.94
20201108T2200,12.215955,77.0,191.0,15.34,8.46
20201108T2300,12.075954,81.0,196.0,15.46,8.07
20201109T0000,11.975955,84.0,198.0,15.53,7.65
20201109T0100,11.625955,87.0,195.0,14.22,7.58
20201109T0200,11.095955,90.0,196.0,14.12,7.27
