location,Münster,Münster,Münster
lat,51.97739,51.97739,51.97739
lon,7.62251,7.62251,7.62251
asl,58.762,58.762,58.762
variable,Relative Humidity,Snowfall Amount,Temperature
unit,%,cm,°C
level,2 m,sfc,850 mb
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Münster Relative Humidity [2 m],Münster Snowfall Amount,Münster Temperature [850 mb]
20201108T0000,74.0,0.0,9.89
20201108T0100,77.0,0.0,9.89
20201108T0200,77.0,0.0,9.97
20201108T0300,78.0,0.0,10.32
20201108T0400,80.0,0.0,10.19
20201108T0500,80.0,0.0,9.89
20201108T0600,80.0,0.0,10.16
20201108T0700,80.0,0.0,10.32
20201108T0800,77.0,0.0,10.4
20201108T0900,70.0,0.0,10.22
20201108T1000,65.0,0.0,9.88
20201108T1100,61.0,0.0,9.94
20201108T1200,58.0,0.0,9.89
20201108T1300,55.0,0.0,11.22
20201108T1400,54.0,0.0,11.15
20201108T1500,54.0,0.0,10.72
20201108T1600,57.0,0.0,9.99
20201108T1700,58.0,0.0,10.12
20201108T1800,61.0,0.0,9.64
20201108T1900,65.0,0.0,10.03
20201108T2000,69.0,0.0,9.52
20201108T2100,73.0,0.0,8.94
20201108T2200,77.0,0.0,8.46
20201108T2300,81.0,0.0,8.07
20201109T0000,84.0,0.0,7.65
20201109T0100,87.0,0.0,7.58
20201109T0200,90.0,0.0,7.27
20201109T0300,92.0,0.0,7.14
20201109T0400,94.0,0.0,7.48
20201109T0500,97.0,0.0,7.71
20201109T0600,97.0,0.0,7.78
20201109T0700,97.0,0.0,7.1
20201109T0800,95.0,0.0,6.83
20201109T0900,95.0,0.0,6.81
20201109T1000,86.0,0.0,6.99
20201109T1100,80.0,0.0,7.01
20201109T1200,77.0,0.0,6.83
20201109T1300,67.0,0.0,7.08
20201109T1400,67.0,0.0,7.18
20201109T1500,67.0,0.0,7.14
20201109T1600,68.0,0.0,6.91
20201109T1700,70.0,0.0,6.84
20201109T1800,72.0,0.0,6.8
20201109T1900,74.0,0.0,6.78
20201109T2000,77.0,0.0,6.67
20201109T2100,81.0,0.0,6.56
20201109T2200,85.0,0.0,6.5
20201109T2300,89.0,0.0,6.35
20201110T0000,91.0,0.0,6.32
20201110T0100,95.0,0.0,6.26
20201110T0200,98.0,0.0,6.1
20201110T0300,96.0,0.0,5.81
20201110T0400,95.0,0.0,5.6
20201110T0500,94.0,0.0,5.49
20201110T0600,94.0,0.0,5.3
20201110T0700,89.0,0.0,5.38
20201110T0800,85.0,0.0,5.44
20201110T0900,80.0,0.0,5.56
20201110T1000,72.0,0.0,5.64
20201110T1100,68.0,0.0,5.65
20201110T1200,64.0,0.0,5.77
20201110T1300,71.0,0.0,6.03
20201110T1400,71.0,0.0,5.91
20201110T1500,71.0,0.0,5.84
20201110T1600,73.0,0.0,5.78
20201110T1700,76.0,0.0,5.68
20201110T1800,78.0,0.0,5.58
20201110T1900,81.0,0.0,5.54
20201110T2000,85.0,0.0,5.54
20201110T2100,88.0,0.0,5.54
20201110T2200,91.0,0.0,5.5
20201110T2300,93.0,0.0,5.39
20201111T0000,95.0,0.0,5.38
20201111T0100,97.0,0.0,5.37
20201111T0200,96.0,0.0,5.32
20201111T0300,96.0,0.0,5.3
20201111T0400,92.0,0.0,4.9
20201111T0500,90.0,0.0,4.63
20201111T0600,90.0,0.0,4.2
20201111T0700,92.0,0.0,4.04
20201111T0800,95.0,0.0,4.14
20201111T0900,95.0,0.0,3.73
20201111T1000,90.0,0.0,3.33
20201111T1100,87.0,0.0,4.07
20201111T1200,87.0,0.0,3.87
20201111T1300,82.0,0.0,4.16
20201111T1400,79.0,0.0,4.1
20201111T1500,76.0,0.0,3.79
20201111T1600,76.0,0.0,3.61
20201111T1700,78.0,0.0,3.56
20201111T1800,79.0,0.0,3.29
20201111T1900,80.0,0.0,3.34
20201111T2000,80.0,0.0,3.46
20201111T2100,84.0,0.0,3.52
20201111T2200,86.0,0.0,3.83
20201111T2300,88.0,0.0,4.14
20201112T0000,89.0,0.0,4.43
20201112T0100,90.0,0.0,4.44
20201112T0200,91.0,0.0,4.2
20201112T0300,90.0,0.0,4.06
20201112T0400,90.0,0.0,3.96
20201112T0500,90.0,0.0,3.96
20201112T0600,88.0,0.0,3.93
20201112T0700,86.0,0.0,4.26
20201112T0800,86.0,0.0,4.58
20201112T0900,82.0,0.0,4.06
20201112T1000,74.0,0.0,3.68
20201112T1100,76.0,0.0,2.79
20201112T1200,79.0,0.0,0.99
20201112T1300,69.0,0.0,0.98
20201112T1400,63.0,0.0,0.78
20201112T1500,66.0,0.0,0.39
20201112T1600,69.0,0.0,0.61
20201112T1700,71.0,0.0,0.67
20201112T1800,71.0,0.0,0.36
20201112T1900,74.0,0.0,0.03
20201112T2000,76.0,0.0,-0.31
20201112T2100,76.0,0.0,-0.19
20201112T2200,76.0,0.0,-0.95
20201112T2300,75.0,0.0,0.01
20201113T0000,78.0,0.0,0.27
20201113T0100,86.0,0.0,0.51
20201113T0200,89.0,0.0,0.46
20201113T0300,90.0,0.0,0.57
20201113T0400,88.0,0.0,0.73
20201113T0500,86.0,0.0,0.7
20201113T0600,85.0,0.0,0.67
20201113T0700,85.0,0.0,0.72
20201113T0800,85.0,0.0,0.97
20201113T0900,80.0,0.0,1.81
20201113T1000,73.0,0.0,1.78
20201113T1100,64.0,0.0,2.32
